Item,Stage,Certification criterion,Acceptance evidence,Status,Assessor evidence,Notes,Candidate,Role / task,Store / location,Assessor,Standard version,Assessment date,Prior qualification,Renewal date / trigger,Decision,Deployment authority / limits,Follow-up date or trigger,Candidate signature,Assessor / approver signature
1,Entry,Role and task scope are defined,Authorized activities and limits are stated,,,,,,,,,,,,,,,,
2,Entry,Prerequisites are confirmed,Required knowledge access and prior qualification are recorded,,,,,,,,,,,,,,,,
3,Standard,"Outcomes, behaviors and conditions are observable",Explicit assessment criteria are available,,,,,,,,,,,,,,,,
4,Learning,The complete standard is demonstrated,Correct sequence and critical controls are shown,,,,,,,,,,,,,,,,
5,Practice,The learner practices under supervision,Practice record and coaching feedback exist,,,,,,,,,,,,,,,,
6,Risk,Critical errors and escalation rules are understood,Stop conditions and escalation path are identified,,,,,,,,,,,,,,,,
7,Assessment,An authorized assessor observes performance,"Assessor, date, task and conditions are recorded",,,,,,,,,,,,,,,,
8,Assessment,Explicit pass criteria are applied,Critical items and tolerances are judged consistently,,,,,,,,,,,,,,,,
9,Evidence,Assessment proof is retained,Results outputs and exceptions are traceable,,,,,,,,,,,,,,,,
10,Decision,The outcome is explicit,"Pass, conditional deployment or retraining required",,,,,,,,,,,,,,,,
11,Deployment,Independent-work authority is stated,"Permitted tasks, limits and supervision needs are clear",,,,,,,,,,,,,,,,
12,Follow-up,Verification and renewal triggers are scheduled,"Field follow-up, expiry or retraining trigger is recorded",,,,,,,,,,,,,,,,
